Date,Open,High,Low,Close,Volume,Sector Symbol,Sector Long Name
12/8/21,104.6452,105.0437,104.3314,104.8544,10458811,XLI,Industrial 
12/7/21,104.3264,105.4572,104.2816,104.5954,10603151,XLI,Industrial 
12/6/21,102.8321,104.1820,102.6627,103.5394,14511940,XLI,Industrial 
12/3/21,102.1347,102.3937,100.7898,101.8159,19658682,XLI,Industrial 
12/2/21,99.7537,102.2841,99.4150,101.9355,22001978,XLI,Industrial 
12/1/21,101.9155,102.3260,98.9567,98.9965,19858341,XLI,Industrial 
11/30/21,102.2244,102.5432,100.2867,100.3913,21138239,XLI,Industrial 
11/29/21,103.8682,103.8881,102.4535,103.0014,11737215,XLI,Industrial 
11/26/21,102.9616,103.3900,102.0949,102.8221,14749433,XLI,Industrial 
11/24/21,105.4522,105.9005,105.3127,105.6813,10800895,XLI,Industrial 
11/23/21,105.7411,106.1745,105.2575,105.8009,14143449,XLI,Industrial 
11/22/21,105.6714,106.6078,105.4123,105.6216,11956730,XLI,Industrial 
11/19/21,105.8108,105.8856,105.1832,105.3326,8969312,XLI,Industrial 
11/18/21,106.4285,106.4285,105.3127,105.8606,9843197,XLI,Industrial 
11/17/21,106.7373,106.8718,105.7112,106.0798,8195101,XLI,Industrial 
11/16/21,106.7075,107.2413,106.6178,106.7174,6649893,XLI,Industrial 
11/15/21,106.9266,107.0462,106.4584,106.6975,7701543,XLI,Industrial 
11/12/21,105.9603,106.6776,105.6216,106.4982,7958914,XLI,Industrial 
11/11/21,106.3090,106.3090,105.5518,105.6614,5943536,XLI,Industrial 
11/10/21,106.5480,106.8868,105.8059,106.0997,10364757,XLI,Industrial 
11/9/21,106.6278,106.9565,106.1047,106.6975,10677628,XLI,Industrial 
11/8/21,106.9266,107.1757,106.0151,106.4285,8962484,XLI,Industrial 
11/5/21,106.1396,106.6477,105.6415,105.9902,12955284,XLI,Industrial 
11/4/21,104.8046,105.2978,104.6852,104.9242,10239581,XLI,Industrial 
11/3/21,104.1471,104.5755,103.5992,104.5058,11610832,XLI,Industrial 
11/2/21,104.5356,104.8295,104.2368,104.7349,8867123,XLI,Industrial 
11/1/21,104.3065,104.5954,103.8781,104.3862,10815849,XLI,Industrial 
10/29/21,103.8781,104.4759,103.6789,104.0973,6857371,XLI,Industrial 
10/28/21,102.9317,104.1272,102.9317,104.0674,9295335,XLI,Industrial 
10/27/21,104.1969,104.2667,102.7574,102.7823,9049105,XLI,Industrial 
10/26/21,104.5356,104.9740,103.9878,103.9977,12360350,XLI,Industrial 
10/25/21,104.2500,105.0400,103.9100,104.6500,8124134,XLI,Industrial 
10/22/21,104.2500,104.7900,104.0900,104.4100,9863272,XLI,Industrial 
10/21/21,103.6100,104.0900,103.3500,104.0400,7854320,XLI,Industrial 
10/20/21,103.2000,103.9300,102.9600,103.8300,9293428,XLI,Industrial 
10/19/21,103.0800,103.2200,102.4700,103.1800,6937168,XLI,Industrial 
10/18/21,101.9200,102.6800,101.5100,102.5700,6805781,XLI,Industrial 
10/15/21,102.2200,102.9400,102.0800,102.5000,11819622,XLI,Industrial 
10/14/21,100.4500,101.5500,100.2400,101.5300,9789692,XLI,Industrial 
10/13/21,99.6100,100.0600,98.5600,99.6400,12463441,XLI,Industrial 
10/12/21,99.8800,100.2300,99.2400,99.4300,10086606,XLI,Industrial 
10/11/21,100.4400,101.0800,99.7500,99.7600,10021668,XLI,Industrial 
10/8/21,100.4800,100.8200,100.1400,100.5700,8597411,XLI,Industrial 
10/7/21,100.5700,101.3100,100.4900,100.5800,9706175,XLI,Industrial 
10/6/21,98.3000,99.8400,97.8400,99.8000,14757964,XLI,Industrial 
10/5/21,98.4500,99.8700,98.0200,99.3700,13036902,XLI,Industrial 
10/4/21,98.6400,99.2700,97.6500,98.2700,20259034,XLI,Industrial 
10/1/21,98.0900,99.3400,97.1100,98.8100,17116120,XLI,Industrial 
9/30/21,99.8300,99.9100,97.3600,97.4700,24717592,XLI,Industrial 
9/29/21,99.8400,100.0300,99.3700,99.5100,12193925,XLI,Industrial 
9/28/21,100.2900,100.5500,99.1700,99.4100,17121647,XLI,Industrial 
9/27/21,100.6100,101.4700,100.5100,100.5700,9373126,XLI,Industrial 
9/24/21,100.0000,100.7500,99.9300,100.4700,8285537,XLI,Industrial 
9/23/21,99.2200,100.8100,99.1800,100.2600,11483353,XLI,Industrial 
9/22/21,98.2600,99.4200,98.2600,98.7500,13129341,XLI,Industrial 
9/21/21,98.9700,99.0300,97.5200,97.9700,14399318,XLI,Industrial 
9/20/21,98.1700,98.6900,97.4100,98.4900,21534422,XLI,Industrial 
9/17/21,100.3600,100.5900,99.4800,99.6300,16364696,XLI,Industrial 
9/16/21,101.3900,101.6400,100.5300,100.7000,10589967,XLI,Industrial 
9/15/21,100.3500,101.6600,100.1300,101.4000,9239361,XLI,Industrial 
